字段,值
采购装箱单编号,CXCJ202501220l
总净重(KG),253.79
总运费(RMB),452
运费单价(RMB/KG),1.7810
加价率,0.05
保险系数,1.1
保险费率,0.0005
汇率(RMB/美元),0.1394
公司名称,Shibo Chuangxiang Digital Technology (Shenzhen) Co., LTD
公司地址,"Room 1501, Shenzhen International Qianhai Yidu Tower, No.99, Gangcheng Street, Nanshan Street, Qianhai Shenzhen-Hong Kong Cooperation Zone, Shenzhen"
银行账号,811020101280058376
开户行,China citic bank shenzhen branch
银行地址,"8F, Citic Security Tower, Zhongxin Futian Dist. Futian Shenzhen China"
SWIFT代码,CIBKCNBJ518 